category,storage_type,shelf_life_days,days_remaining_at_purchase,days_until_expiry,risk_level
8,0,2,2,1,Low
3,1,7,6,6,Low
7,1,5,5,5,Medium
8,1,5,4,2,High
1,1,17,12,9,Low
8,0,5,5,5,Medium
1,1,24,21,20,Low
8,0,6,5,5,High
1,1,17,14,11,High
6,1,3,3,0,Medium
8,0,7,7,7,Low
2,1,5,5,3,Medium
0,2,3,3,2,Low
7,1,4,4,1,Low
1,1,15,11,8,High
7,1,1,1,0,Low
0,2,2,2,0,Low
5,1,3,3,2,Low
7,1,3,2,0,Medium
4,0,145,138,137,Low
4,0,284,261,259,Medium
8,1,5,4,1,Medium
4,0,257,238,238,Low
2,1,25,19,18,Medium
1,1,21,16,15,High
4,0,60,58,57,High
6,2,13,11,11,Medium
7,1,3,2,1,High
3,1,11,9,9,Low
4,0,160,148,145,Low
3,1,3,3,0,Low
8,1,7,7,6,Medium
8,0,7,7,7,Medium
8,1,7,5,4,High
8,0,7,6,6,Low
7,0,5,4,2,High
2,1,13,12,12,Medium
0,2,2,1,1,High
6,2,15,14,12,High
4,0,220,150,149,Medium
1,1,29,24,22,Medium
6,1,5,5,5,Medium
8,0,7,5,5,High
5,1,6,6,3,Low
7,0,1,1,0,Medium
7,1,3,2,0,Medium
5,1,3,3,1,Low
6,1,16,11,8,Medium
5,0,7,5,4,High
4,0,281,241,241,Low
7,1,1,1,0,Low
7,1,4,3,3,High
4,0,133,114,113,Medium
6,1,9,6,3,Medium
0,2,7,5,3,Low
5,0,10,8,5,High
7,1,4,3,3,Low
7,1,4,4,3,Medium
4,0,128,107,107,High
5,1,3,2,0,High
0,2,6,6,5,Low
7,1,2,1,0,High
8,0,4,4,4,Medium
2,1,30,25,25,Medium
3,1,13,11,9,Low
4,0,99,66,65,Low
3,1,12,12,11,Medium
0,2,3,2,1,Low
5,1,10,9,7,Medium
2,0,10,9,7,High
8,0,5,5,3,High
1,1,20,16,14,Medium
8,0,6,4,3,Low
1,1,24,16,15,High
7,1,4,3,3,High
1,2,30,21,21,Medium
5,1,9,7,7,Low
7,1,4,3,2,High
4,0,307,285,284,Low
7,1,4,4,2,Medium
8,0,5,4,1,Medium
4,0,134,104,101,Low
5,0,9,7,5,High
1,1,28,20,17,Medium
6,2,4,3,3,High
4,0,267,192,191,Low
5,1,8,7,6,Low
4,0,149,123,122,High
5,1,7,5,5,High
3,1,12,12,9,Low
6,2,13,10,7,High
6,1,13,13,13,Low
7,1,2,1,0,High
6,1,14,13,13,Low
1,1,8,7,6,High
7,1,5,4,3,Medium
4,0,317,273,273,Medium
1,1,7,5,3,High
0,2,3,2,0,High
6,1,14,11,9,High
6,1,10,7,7,Low
1,1,22,20,19,Medium
0,2,2,1,0,High
5,0,7,6,6,High
2,1,26,23,20,Low
0,2,6,5,5,Low
1,1,27,22,22,Low
5,1,8,7,5,Medium
0,2,7,5,5,Medium
8,0,4,4,2,Low
1,1,19,15,14,High
4,0,205,149,146,Low
2,1,20,17,17,High
0,2,3,3,3,Low
2,1,16,14,11,Medium
1,1,16,12,11,Low
5,1,4,3,3,Low
3,1,11,11,9,Low
2,1,5,4,3,High
3,1,8,8,5,High
1,1,13,10,10,Low
4,0,81,58,56,High
6,1,9,9,9,High
7,1,1,1,0,High
5,1,4,3,2,High
2,1,28,26,24,Low
7,1,5,5,3,Low
2,1,17,12,12,Low
6,1,20,14,13,Medium
8,0,5,4,2,Low
8,1,3,3,1,Medium
4,0,362,330,328,Medium
6,1,17,12,11,High
3,1,7,5,2,Medium
8,0,5,5,2,Medium
4,0,341,290,290,Low
1,1,17,15,13,Medium
7,1,5,4,3,High
2,1,21,19,16,Low
3,1,7,5,4,Low
2,1,9,7,7,Medium
5,1,6,4,1,High
7,1,3,3,3,High
3,1,9,9,7,Low
2,1,17,17,17,Medium
3,1,5,5,5,Low
2,1,7,6,4,Low
1,1,19,14,13,Medium
6,1,16,14,11,Medium
3,1,8,6,5,High
7,1,4,4,1,High
5,1,6,4,4,Low
0,2,4,4,2,Medium
0,2,7,7,7,Low
2,0,14,13,11,High
2,1,13,11,11,Medium
6,1,6,5,2,High
1,1,8,8,5,High
2,1,16,11,10,Low
2,1,5,4,4,High
5,1,6,5,3,Low
7,1,2,2,0,Low
8,1,6,6,4,High
3,0,14,14,14,Medium
3,1,10,8,5,High
7,1,5,5,2,Low
1,1,22,17,17,Medium
6,2,11,8,8,High
1,1,17,14,13,Low
4,0,352,276,276,High
4,0,85,79,79,Medium
0,2,4,4,4,Low
1,1,10,9,6,Low
4,0,72,67,65,Low
1,1,29,27,24,High
3,1,9,8,6,High
3,1,5,5,3,Low
0,2,4,4,2,Low
0,2,5,5,5,Medium
1,1,26,26,25,Low
6,1,4,3,1,Medium
7,1,1,1,0,Low
7,1,2,1,0,High
0,2,2,1,0,High
0,2,6,6,5,Medium
8,1,4,4,4,Medium
6,1,16,16,15,Low
6,1,5,4,4,High
3,1,12,12,10,Low
1,1,27,25,22,High
3,1,14,14,14,High
3,1,5,4,4,High
3,1,9,9,6,High
6,2,6,5,4,Medium
1,1,17,14,12,Low
5,1,5,5,4,Low
5,1,4,3,2,Medium
0,2,7,7,7,Medium
1,1,12,10,9,High
6,1,13,11,8,Medium
7,1,1,1,0,High
2,1,10,7,5,High
1,1,11,9,8,Low
3,1,4,3,2,Low
3,1,11,11,9,Low
0,2,6,5,4,Medium
4,0,362,307,306,Low
8,1,7,5,3,Medium
4,0,91,89,88,High
2,1,9,6,3,Medium
6,1,12,8,6,High
3,1,12,8,5,Low
7,1,4,3,0,Low
8,0,4,3,0,Low
2,1,9,6,5,High
4,0,277,198,198,Medium
4,0,277,200,199,Low
7,1,2,1,0,Medium
6,1,5,4,4,High
1,1,25,20,17,High
8,0,7,6,3,Medium
8,1,4,4,3,High
0,2,4,3,3,Low
7,1,4,3,3,Medium
6,1,8,8,5,Low
5,0,9,6,3,High
6,1,15,12,10,High
1,1,23,23,22,Low
7,1,3,2,0,Medium
6,2,9,7,7,Medium
5,1,4,3,2,High
2,1,24,21,19,High
7,1,5,5,4,Low
5,1,9,7,6,High
4,0,192,159,158,Low
7,1,4,4,3,Medium
5,1,4,4,3,Medium
2,1,25,25,23,Low
4,0,311,250,250,Low
5,0,9,6,5,High
0,2,7,7,7,Medium
1,1,12,8,6,Low
5,0,10,10,8,Medium
2,1,20,17,14,High
1,1,8,7,6,Low
1,1,8,8,7,Low
0,2,5,5,5,Medium
7,1,2,1,0,High
4,0,343,322,319,High
7,1,1,0,0,High
7,1,4,4,2,Low
6,1,4,4,3,High
0,2,6,6,4,Low
3,1,10,9,8,Medium
1,1,28,28,27,Low
7,1,1,1,0,Medium
6,2,21,16,14,Medium
5,1,6,4,4,Medium
7,1,2,2,0,High
6,1,9,7,4,Low
5,1,9,8,5,Low
7,1,2,2,2,Medium
1,1,30,24,21,Low
7,1,4,4,3,Low
4,0,211,181,181,Low
1,1,7,6,5,High
3,1,13,13,10,Medium
2,1,27,18,17,High
7,1,5,4,1,Medium
3,1,11,11,11,High
5,1,6,4,3,Medium
4,0,250,206,203,Low
5,0,4,3,3,High
0,2,5,5,5,Low
6,1,13,10,10,Low
7,1,5,4,3,Medium
8,0,5,4,1,High
8,0,6,5,4,High
8,0,2,1,0,High
0,2,5,5,4,High
1,1,30,23,23,Low
4,0,288,243,241,Low
5,1,10,8,8,Medium
3,1,8,7,5,Low
4,0,104,95,92,High
5,1,4,4,1,Low
7,1,4,3,1,Medium
7,1,4,4,3,Low
1,1,16,13,11,High
5,1,4,3,1,Low
1,1,30,21,21,High
1,1,8,7,4,Low
0,2,2,2,2,High
8,1,4,3,3,Medium
5,1,6,6,4,Medium
1,1,18,17,15,Low
0,2,3,3,3,Low
8,0,2,2,0,Low
2,1,23,23,23,Low
2,1,24,21,18,Low
8,1,6,5,4,High
6,1,6,4,1,Medium
8,1,7,7,7,High
7,1,1,1,0,High
5,1,10,10,10,Low
1,1,16,13,13,High
3,1,10,10,9,Medium
8,0,6,6,4,High
6,1,6,6,3,Medium
7,1,4,3,2,Low
0,2,2,2,2,Medium
2,1,7,6,3,Medium
3,1,12,12,12,Low
1,1,22,15,13,Medium
2,1,26,22,22,Low
4,0,351,265,262,Low
0,2,6,6,5,Medium
3,1,8,7,4,Medium
0,2,2,1,0,Low
1,1,20,18,15,Low
7,1,1,0,0,High
3,1,8,7,7,High
5,0,4,3,2,Medium
6,1,12,8,8,Medium
4,0,292,207,207,Low
4,0,90,74,71,Low
0,2,4,4,2,Medium
8,1,3,2,0,Medium
0,2,5,4,2,Medium
0,2,7,5,3,Medium
2,1,24,20,19,High
5,0,6,6,3,Medium
7,1,1,1,0,Medium
7,1,4,4,4,Medium
4,0,88,73,71,High
4,0,202,184,183,Low
7,1,1,1,0,High
3,1,6,5,2,Medium
0,2,4,4,1,Medium
4,0,311,251,251,Low
5,1,7,5,2,High
3,1,3,3,2,Medium
6,1,21,20,18,High
8,1,5,4,2,High
7,1,2,2,0,High
7,1,5,5,3,Medium
2,1,24,20,19,Low
5,1,9,6,3,High
0,2,5,5,2,Medium
6,1,7,7,6,High
3,1,10,10,8,Low
4,0,276,200,199,Low
6,1,4,4,1,Medium
3,1,12,11,10,Low
1,1,29,21,18,Low
1,1,20,18,17,Medium
3,1,14,11,11,High
1,1,8,8,5,Medium
4,0,286,241,238,Medium
8,0,3,2,0,High
7,1,5,5,2,Medium
3,1,13,13,12,Low
3,1,10,7,4,High
7,1,2,2,0,Medium
2,1,17,14,11,Medium
0,2,4,4,1,Medium
1,1,20,20,20,Medium
4,0,234,175,172,Medium
1,1,23,22,22,Medium
0,2,4,4,3,Low
2,1,18,15,12,Medium
3,1,11,11,8,Low
2,1,14,12,11,Medium
0,2,3,3,3,Low
7,1,5,4,3,Low
2,1,27,24,21,Low
4,0,214,155,155,Medium
8,1,5,4,2,Low
4,0,112,85,85,High
0,2,5,4,3,Low
4,0,158,128,127,Low
3,1,10,9,6,Medium
3,1,12,11,11,Medium
8,0,5,4,4,Medium
3,1,5,5,2,Low
7,1,2,1,0,High
1,1,26,25,25,Low
6,1,17,13,13,High
8,0,5,4,1,Low
0,2,4,3,2,Low
5,0,5,4,1,Low
8,0,7,5,3,Low
1,1,26,19,18,Medium
6,1,20,18,18,Medium
5,1,8,6,5,Medium
0,2,7,6,5,High
6,1,21,18,18,Low
7,1,5,5,3,High
3,1,14,11,11,High
1,1,18,13,11,Low
0,2,5,4,4,Medium
8,1,7,6,3,Low
1,1,24,19,19,High
7,1,2,2,0,Medium
2,1,30,21,20,Low
6,1,3,3,0,High
7,1,3,2,2,High
1,1,11,9,9,Low
4,0,286,192,191,Medium
0,2,7,5,3,Medium
2,1,29,22,21,High
2,1,12,8,6,High
7,1,3,2,0,High
0,2,6,6,4,Low
0,2,2,1,0,High
3,1,7,6,4,High
6,1,15,15,13,High
1,1,14,14,11,Medium
8,0,3,2,0,High
7,1,1,1,0,Low
3,1,11,9,8,High
5,1,5,4,4,High
3,1,10,8,8,Medium
3,1,13,13,11,Medium
4,0,310,213,210,Low
5,0,10,10,7,Medium
2,1,11,8,5,Medium
3,1,13,11,8,High
2,1,27,18,15,High
5,1,10,9,6,Medium
7,1,5,5,3,High
6,1,9,9,7,Medium
1,1,28,28,27,Low
1,2,13,11,10,High
4,0,144,123,121,Low
4,0,231,199,197,Medium
2,1,30,27,25,Low
1,1,8,8,6,Low
8,1,2,1,0,High
2,1,17,17,15,Low
7,1,4,3,2,High
2,1,23,20,17,Medium
6,2,19,17,15,High
6,1,4,4,2,Medium
3,1,5,5,5,High
4,0,163,113,112,High
1,1,25,20,19,Medium
2,1,25,22,20,Low
3,1,9,8,6,Low
5,1,6,4,2,Low
0,2,7,7,7,Medium
0,2,3,2,0,Medium
6,1,8,6,5,Low
8,0,6,5,4,High
6,1,21,18,18,Medium
0,2,6,5,2,Low
5,1,8,7,4,High
1,1,25,19,17,Low
6,1,15,14,13,Medium
3,1,5,5,5,Low
1,1,20,17,14,Medium
0,2,5,5,3,Medium
6,1,13,11,8,Low
2,1,29,27,25,High
6,1,17,12,12,Medium
4,0,290,219,218,Low
2,1,16,14,12,High
7,1,4,4,3,Low
3,1,7,7,6,Low
7,1,2,2,0,Low
5,0,3,3,0,Low
1,1,16,12,9,Medium
2,1,17,13,11,Medium
1,1,30,29,29,Medium
0,2,5,5,2,Medium
8,1,5,5,2,Low
5,1,10,7,7,High
5,1,9,6,3,High
5,0,10,7,6,Low
0,2,4,3,2,High
1,1,12,11,9,Medium
4,0,65,44,44,Low
2,1,19,14,13,Low
5,1,10,10,7,Medium
6,1,5,5,3,Medium
5,1,5,5,5,Medium
3,1,13,11,8,Medium
0,2,2,2,0,Low
8,1,7,6,4,Medium
7,1,2,2,2,Low
6,2,5,5,5,Low
6,1,17,12,10,High
2,1,25,21,21,High
6,1,10,9,8,Medium
2,1,7,7,5,Low
7,1,2,2,0,Medium
4,0,215,179,179,Medium
1,1,19,18,17,Low
8,0,2,1,1,High
1,1,29,22,22,Low
0,2,5,5,2,Low
4,0,320,230,227,Medium
4,0,77,66,66,Medium
7,1,3,3,0,Low
5,1,9,6,3,High
6,2,11,9,9,Low
4,0,353,254,254,Low
4,0,311,311,308,Medium
0,2,3,2,1,Medium
5,1,5,5,5,Medium
4,0,115,105,105,Low
3,1,10,7,4,Medium
2,1,8,8,8,Low
0,2,6,5,2,Medium
6,1,15,11,9,Low
1,1,7,5,5,Medium
6,1,18,14,14,Medium
3,1,3,2,0,Medium
7,1,4,4,4,Low
1,1,22,19,18,Low
5,0,5,4,1,High
5,0,10,10,10,Medium
7,1,4,3,2,High
6,1,5,5,3,Low
5,1,8,7,7,Low
4,0,124,91,88,Low
8,1,2,1,0,High
7,1,4,3,3,High
6,2,4,4,4,Low
8,1,4,3,0,High
5,1,7,5,4,Medium
7,1,3,2,1,Low
0,2,7,7,7,Medium
8,0,3,3,0,High
5,1,9,8,5,Low
1,1,12,9,8,Medium
4,0,287,240,239,Low
8,1,7,6,6,High
7,1,5,4,3,High
8,1,2,2,0,Medium
4,0,83,67,64,Low
3,1,11,10,7,Medium
6,1,7,5,5,High
7,1,3,2,1,High
4,0,96,79,79,Low
0,2,7,5,2,High
3,1,7,7,7,Low
5,0,7,5,2,High
0,2,2,2,0,High
8,1,7,6,6,High
4,0,241,182,180,High
6,2,12,9,6,Medium
6,1,4,4,4,High
2,1,28,26,26,Medium
3,1,11,11,8,Low
8,1,7,7,4,Medium
6,1,21,15,15,High
2,1,6,5,4,Medium
2,1,17,15,12,High
3,1,7,7,7,High
2,1,11,11,9,Medium
3,1,6,5,4,Low
8,1,6,4,1,High
2,1,21,21,18,Low
7,1,4,3,2,Medium
8,0,3,2,0,High
4,0,112,80,77,Low
8,1,5,5,4,Medium
6,1,15,12,12,High
3,1,11,8,7,Low
3,1,8,8,8,High
6,1,6,5,2,Medium
5,1,5,4,1,Medium
3,1,6,4,1,High
7,1,2,2,2,Medium
7,1,2,2,0,Low
6,1,18,13,12,High
2,1,21,17,14,Low
8,0,3,2,1,High
0,2,7,7,7,Medium
7,1,5,4,3,High
2,1,16,15,15,High
7,1,4,3,1,High
3,1,13,10,8,Medium
8,1,3,2,1,Medium
8,0,4,4,3,Medium
5,0,9,9,9,High
7,1,1,1,0,Low
8,1,2,2,1,High
1,1,16,14,14,Low
2,1,18,15,14,High
4,0,116,102,100,Medium
3,1,5,5,3,Low
8,0,6,5,3,High
0,2,2,2,1,Medium
1,1,20,15,14,Low
4,0,277,216,214,High
6,2,18,14,14,High
5,1,6,4,1,High
2,1,9,9,7,High
8,0,6,5,3,Medium
5,1,9,9,8,Low
7,1,2,2,1,Low
7,1,4,4,3,Medium
3,1,14,14,13,Medium
7,1,1,0,0,High
7,1,2,1,0,High
8,0,6,6,5,Medium
7,1,4,3,1,High
3,1,7,7,6,Medium
2,1,22,21,19,Low
6,1,4,4,1,Medium
1,1,9,7,7,Medium
6,2,14,13,11,High
5,1,3,2,0,High
8,1,7,7,6,Low
8,1,6,4,4,Low
1,1,18,14,12,Medium
6,1,5,5,2,High
0,2,5,5,2,Low
0,2,2,2,1,Medium
1,1,22,22,21,Medium
8,1,6,5,4,High
2,1,28,25,24,Low
4,0,97,83,82,Medium
3,1,14,11,8,High
1,1,17,13,11,Medium
3,1,3,3,3,Medium
8,1,2,1,0,High
0,2,2,1,0,Low
1,0,12,9,8,High
7,1,5,5,2,Low
8,0,2,1,1,High
8,1,6,6,3,Medium
3,1,7,5,4,Low
3,1,9,7,4,High
7,1,4,3,3,Medium
5,1,4,4,4,Low
1,1,13,10,7,Medium
4,0,319,283,281,High
4,0,76,76,76,Low
7,1,5,4,2,Medium
4,0,279,263,261,High
3,1,6,6,3,High
4,0,141,121,118,High
7,1,5,5,2,Low
3,1,6,5,4,High
4,0,200,190,189,Low
5,1,4,4,3,Medium
3,1,10,10,10,Medium
4,0,290,270,270,Low
7,1,3,2,1,High
0,2,2,2,1,Low
5,1,5,5,3,High
5,0,7,6,5,Medium
6,1,11,8,6,Medium
6,1,17,14,12,Medium
4,0,240,193,191,Low
3,1,8,8,6,Low
3,1,14,14,11,Low
6,1,12,8,5,Medium
7,1,4,3,2,Medium
1,1,10,10,10,Low
7,1,5,5,4,High
0,2,5,5,5,Low
1,1,10,8,8,Low
8,1,7,6,4,High
3,1,3,2,0,Low
3,1,7,5,5,Low
8,0,7,6,3,Low
1,1,14,14,12,Low
6,1,5,5,5,Medium
4,0,234,208,205,Medium
0,2,3,3,3,Medium
7,1,2,2,0,Medium
7,1,4,4,2,Medium
0,2,6,5,4,High
4,0,317,262,262,Low
2,1,11,9,9,Medium
1,1,28,28,27,Medium
2,1,7,5,2,High
4,0,172,126,126,Medium
3,1,12,10,7,High
7,1,2,2,2,Medium
8,0,5,4,3,Low
2,0,23,23,22,High
7,1,5,5,4,High
3,1,11,9,6,High
3,1,11,8,5,Medium
8,1,7,7,5,High
4,0,159,135,133,Low
0,2,6,4,4,High
1,1,16,16,15,Low
8,1,6,4,1,High
2,1,14,10,9,Medium
2,1,16,14,13,High
8,1,6,6,5,Low
4,0,193,155,153,Low
3,1,6,5,3,High
0,2,6,6,6,Low
3,1,8,7,6,Medium
2,1,7,7,4,Low
8,0,4,4,3,Low
7,1,1,1,1,Low
6,2,18,17,14,Medium
2,1,27,24,22,High
0,2,3,2,0,Low
8,1,3,3,2,Low
1,1,10,7,5,High
1,1,11,11,8,Medium
0,2,7,5,3,Low
1,1,12,10,8,High
4,0,137,115,112,Medium
8,0,4,3,1,Medium
8,0,7,5,5,Medium
3,1,4,4,1,Low
1,1,30,27,24,Medium
5,1,4,4,1,Medium
2,1,27,20,19,Low
6,1,12,11,10,Medium
6,1,6,6,5,Low
